student_id,minutes_watched
6,81.03
221,469.07
516,46.27
520,91.18
523,1322.25
594,3.73
603,8.18
608,387.68
614,674.40
616,1103.45
618,546.35
659,1337.60
666,332.90
691,499.52
698,35.98
699,0.13
702,96.92
709,2.30
772,4160.58
778,201.60
782,33.92
792,3391.73
800,482.23
801,333.42
804,514.07
805,48.47
810,190.17
829,151.35
830,0.35
832,358.18
838,507.82
840,1122.13
841,1298.88
842,289.58
851,375.37
854,6.85
862,978.92
863,624.93
865,1038.43
869,175.87
870,510.95
872,6.72
875,355.17
876,2.13
882,1080.68
893,370.12
894,0.07
900,283.32
903,141.35
908,2278.02
911,878.07
916,339.07
928,99.05
930,159.52
933,717.52
936,379.87
956,1.92
959,12.30
961,326.13
965,1125.80
969,57.80
973,43.70
977,0.60
982,38.85
985,57.78
986,0.07
987,149.60
988,364.28
991,1640.47
994,280.97
998,6.63
999,117.92
1002,1394.52
1006,16.33
1008,473.00
1010,4.93
1014,191.83
1015,1026.30
1016,56.18
1018,171.12
1019,8.58
1029,62.65
1033,0.05
1034,107.75
1035,1449.77
1040,0.08
1042,403.88
1045,82.25
1046,899.57
1052,34.33
1056,25.33
1057,1075.13
1063,1867.33
1064,27.08
1066,375.32
1073,5.03
1081,453.35
1086,894.85
1091,46.45
1099,0.28
1102,983.82
1105,2.90
1116,0.12
1119,73.25
1125,11.38
1127,433.43
1128,1002.52
1132,139.87
1140,137.60
1143,21.02
1145,657.35
1155,9.13
1158,4.58
1165,40.68
1166,338.82
1169,49.65
1173,487.40
1175,35.25
1183,1333.03
1187,63.40
1188,35.40
1190,124.13
1196,119.23
1197,1758.28
1201,200.12
1207,184.10
1209,6.47
1211,615.10
1212,42.02
1214,36.08
1215,1542.72
1216,0.18
1224,19.88
1226,12.83
1235,2.75
1238,50.80
1242,53.38
1244,26.03
1246,1475.23
1249,12.23
1253,0.15
1257,2.07
1259,759.92
1266,227.62
1271,40.55
1272,234.00
1283,0.33
1284,586.48
1292,33.93
1294,1.75
1299,55.57
1306,68.93
1308,388.75
1313,0.55
1317,776.42
1323,60.50
1324,90.70
1327,160.47
1330,108.10
1331,101.38
1336,9.65
1347,29.93
1350,1694.00
1353,397.35
1355,232.40
1357,142.72
1363,765.77
1369,4.95
1373,6429.47
1374,219.42
1375,28.78
1379,3143.92
1382,17.15
1388,87.18
1389,66.67
1393,0.05
1397,2979.00
1419,203.62
1424,136.73
1426,165.58
1428,339.83
1434,1690.60
1437,318.90
1456,3460.35
1459,95.22
1461,7.80
1463,7.25
1465,47.45
1468,10.93
1471,0.05
1473,48.87
1482,354.67
1491,2594.37
1494,201.93
1498,32.62
1500,821.40
1501,850.03
1502,0.63
1504,1072.95
1513,272.30
1522,196.95
1531,2.70
1532,2.22
1535,831.20
1537,0.13
1538,191.57
1542,2007.97
1544,26.70
1550,395.48
1553,83.15
1561,550.45
1567,921.55
1587,93.92
1588,5.68
1595,102.67
1598,65.70
1600,33.55
1605,173.90
1606,5.58
1615,3.43
1633,13.15
1638,706.90
1644,135.07
1649,3.95
1651,71.73
1652,322.45
1653,247.07
1658,159.55
1667,23.18
1669,259.42
1678,470.62
1680,1.63
1683,1078.18
1686,0.13
1688,1802.93
1693,149.95
1695,385.35
1701,678.78
1702,1.10
1705,606.20
1710,18.63
1711,138.65
1713,86.83
1732,319.33
1733,230.23
1737,168.85
1739,109.30
1745,119.62
1759,133.38
1765,432.42
1773,415.48
1776,1695.52
1778,887.55
1784,0.13
1790,1340.68
1792,89.05
1794,188.13
1795,139.98
1801,3.00
1802,0.45
1820,104.48
1823,1499.22
1825,487.42
1827,1.60
1835,1386.55
1841,23.65
1849,81.85
1852,587.97
1862,2.70
1863,118.35
1864,454.95
1866,1084.68
1867,6.07
1875,848.48
1880,94.98
1881,130.05
1896,1058.63
1897,189.57
1898,308.87
1900,59.20
1902,133.83
1908,47.42
1909,6.38
1911,109.73
1914,305.90
1917,30.47
1918,395.67
1932,51.77
1935,3.50
1938,326.12
1939,423.62
1945,23.15
1947,185.17
1950,214.77
1957,304.40
1959,259.47
1960,276.38
1977,994.55
1993,144.38
1994,216.18
2003,93.12
2010,85.78
2018,215.30
2019,39.82
2022,21.32
2026,65.10
2051,161.57
2054,1562.08
2055,53.47
2056,55.85
2064,232.02
2066,1085.98
2078,10.13
2079,4.47
2081,706.77
2084,0.40
2091,2258.58
2092,848.05
2093,496.12
2099,250.57
2104,44.12
2106,1.98
2108,304.30
2112,2237.68
2113,43.52
2114,696.33
2118,554.62
2120,581.67
2130,92.05
2135,16.83
2136,1209.87
2149,604.18
2154,223.72
2157,4.47
2160,51.12
2162,114.65
2167,709.68
2170,3.30
2187,643.38
2188,856.53
2190,419.65
2195,403.48
2207,332.40
2213,38.28
2217,64.05
2218,1005.17
2222,10.15
2229,574.57
2231,131.42
2233,330.63
2236,18.37
2248,1398.23
2255,17.92
2256,41.97
2258,1077.97
2265,90.55
2266,81.12
2267,92.40
2274,368.78
2275,0.25
2278,0.67
2284,135.93
2290,220.47
2292,8.50
2295,12.08
2303,19.08
2304,195.35
2306,20.45
2308,1.70
2312,51.25
2318,3.58
2324,2069.83
2332,34.13
2335,36.38
2338,42.35
2339,182.27
2340,150.00
2351,18.75
2354,1848.67
2359,26.08
2362,125.08
2364,397.43
2375,59.80
2377,61.92
2385,367.62
2397,712.63
2398,0.42
2403,2.37
2406,36.00
2409,1648.95
2410,462.68
2414,219.82
2417,47.23
2429,16.12
2431,12.58
2437,72.22
2441,188.00
2447,574.28
2463,6.98
2477,54.48
2493,3971.10
2501,145.05
2506,11.50
2516,72.40
2529,84.67
2536,905.38
2544,31.40
2546,95.87
2550,9.62
2555,105.80
2575,77.85
2577,3.45
2591,1674.27
2617,158.37
2620,73.53
2621,221.12
2629,216.07
2630,90.05
2636,1487.57
2641,4.60
2642,148.72
2650,30.20
2651,57.92
2653,669.40
2655,162.00
2657,28.17
2661,5.18
2663,101.92
2671,10.38
2685,8.12
2688,413.17
2692,94.75
2698,42.17
2706,918.18
2708,0.17
2710,17.15
2719,49.20
2723,114.78
2725,26.90
2726,6.58
2731,39.83
2738,0.28
2741,2.25
2743,11.23
2750,14.98
2754,901.28
2761,0.30
2764,36.55
2772,1272.78
2774,557.95
2793,79.28
2797,39.58
2803,182.38
2805,248.62
2811,2617.23
2813,17.35
2815,310.57
2819,27.05
2820,0.32
2821,351.25
2824,21.97
2825,1.17
2826,12.22
2827,1653.57
2830,1254.10
2831,40.18
2833,2.63
2839,290.97
2840,1.12
2843,19.63
2851,502.08
2859,798.50
2866,1630.58
